Year,Number of Population
2005,"12,124,299"
2006,"12,395,862"
2007,"12,470,666"
2008,"12,850,331"
2009,"12,930,126"
2010,"12,818,045"
2011,"13,167,144"
2012,"13,029,106"
2013,"12,779,201"
2014,"12,980,617"
2015,"12,530,236"
2016,"11,807,387"
2017,"11,589,853"
