Region,Poverty Incidence 2018,Poverty Incidence 2021
NCR,4.9,5.2
CAR,13.8,12.1
I,8.7,15.8
II,15.3,16.4
III,7.9,13.7
IV-A,7.8,10.6
IV-B,15.1,19.3
V,21.5,26.1
VI,15.9,19.2
VII,19.1,26.8
VIII,30.4,28.9
IX,32.4,30.9
X,25.6,26.2
XI,17.8,14
XII,27.2,27.1
CARAGA,28.3,31
BARMM,55.9,39.4
