Country,Unemployment Rate (%)
Qatar,0.1
Cambodia,0.31
Laos,1
Thailand,1.64
Myanmar,1.79
Singapore,2.2
Kuwait,2.3
Vietnam,2.46
Japan,2.6
South Korea,2.7
Kyrgyzstan,2.9
Macau,3.5
Taiwan,3.7
Israel,3.8
Malaysia,4.1
Sri Lanka,4.6
United Arab Emirates,5
Bangladesh,5.3
Hongkong,5.4
Indonesia,5.83
Philippines,5.8
China,6.1
Brunei,8.4
